Fullname,Nickname,formationDate,fundation,status
-,-,-,-,NotFound
-,-,-,-,NotFound
-,-,-,-,Found
-,-,-,-,NotFound
-,-,-,-,NotFound
-,-,-,-,NotFound
Associação Desportiva Niterói,-,1944-04-11,1944-04-11,Found
Olímpico Clube,-,1938-10-17,1938-10-17,Found
Grêmio Esportivo Olímpico,GEO,1919-08-14,1919-08-14,Found
Paula Ramos Esporte Clube,Tricolor da Ilha,1937-12-15,1937-12-15,Found
-,-,-,-,NotFound
Esporte Clube Siderúrgica,Esquadrão de Aço,1930-05-31,1930-05-31,Found
Mogi Mirim Esporte Clube,Sapão,1932-02-01,1932-02-01,Found
Oeste Futebol Clube,Onça Rubro-Negra &#39;&#39;,1921-01-25,1921-01-25,Found
Boa Esporte Clube,Coruja,1947-04-30,1947-04-30,Found
Marília Atlético Clube,Alviceleste &#39;&#39;,1942-04-12,1942-04-12,Found
-,-,-,-,Found
Paulista Futebol Clube,Galo do Japi,1909-05-17,1909-05-17,Found
Guarany Sporting Club,Cacique do Vale,1938-07-02,1938-07-02,Found
União Esporte Clube,Colorado,1973-06-06,1973-06-06,Found
Goiatuba Esporte Clube,Azulão,1970-05-05,1970-05-05,Found
-,-,-,-,Found
Luverdense Esporte Clube,Verdão do Centro Oeste,2004-01-24,2004-01-24,Found
-,-,-,-,Found
-,-,-,-,Found
Itaperuna Esporte Clube,Águia do Noroeste,1989-07-21,1989-07-21,Found
-,-,-,-,Found
Tupi Football Club,Galo,1912-05-26,1912-05-26,Found
Rio Branco Football Club,Alvirrubro,1919-06-08,1919-06-08,Found
Clube Náutico Marcílio Dias,Marinheiro,1919-03-17,1919-03-17,Found
Esporte Clube Baraúnas,Baru,-,-,Found
-,-,-,-,NotFound
Duque de Caxias Futebol Clube,Gigante Tricolor da Baixada,2005-03-08,2005-03-08,Found
Clube Esportivo Bento Gonçalves,Tivo,1919-08-28,1919-08-28,Found
Ubiratan Esporte Clube,Leão da fronteira,1947-02-05,1947-02-05,Found
Cascavel Esporte Clube,Serpente,1979-12-19,1979-12-19,Found
Grêmio Esportivo Novorizontino,Tigre do Vale,1973-03-13,1973-03-13,Found
Esporte Clube Pelotas,Lobão,1908-10-11,1908-10-11,Found
Alagoinhas Atlético Clube,Carcará,1970-04-02,1970-04-02,Found
Sociedade Desportiva Serra Futebol Clube,Cobra Coral,1930-07-24,1930-07-24,Found
Clube Esportivo de Futebol,-,1924-08-30,1924-08-30,Found
Rio Branco de Andradas Futebol Clube,O Mais Querido,1948-06-13,1948-06-13,Found
Grêmio Esportivo Tiradentes,-,1967-02-03,1967-02-03,Found
Brusque Futebol Clube,Quadricolor,1987-10-12,1987-10-12,Found
Valeriodoce Esporte Clube,Valério,1942-11-22,1942-11-22,Found
Esporte Clube Democrata,Pantera,1932-02-13,1932-02-13,Found
Barra do Garças Futebol Clube,Galo da Serra,1978-01-09,1978-01-09,Found
Bonsucesso Futebol Clube,Leão da Leopoldina,1913-09-12,1913-09-12,Found
Clube Ferroviário do Recife,Ferrim,1928-03-17,1928-03-17,Found
Futebol Clube Santa Cruz,Galo,1913-03-26,1913-03-26,Found
-,-,-,-,NotFound
Sport Club Belém,Dragão da Maracangalha,1965-12-02,1965-12-02,Found
União Bandeirante Futebol Clube,-,1964-11-15,1964-11-15,Found
Salgueiro Atlético Clube,SAC,1972-03-22,1972-03-22,Found
Macaé Esporte Futebol Clube,Alvi-Anil,1990-07-17,,Found
Sociedade Imperatriz de Desportos,Cavalo de Aço,1962-01-04,1962-01-04,Found
Estrela do Norte Futebol Clube,Estrelense,1916-01-16,1916-01-16,Found
Sociedade Esportiva Picos,O Zangão do Piauí,1976-02-08,1976-02-08,Found
Ceilândia Esporte Clube,Gato Preto,1979-08-23,1979-08-23,Found
União Agrícola Barbarense Futebol Clube,Leão da 13,1914-11-22,1914-11-22,Found
-,-,-,-,Found
Parnahyba Sport Club,Tubarão do Litoral,1913-05-01,1913-05-01,Found
Independência Futebol Clube,Timão,1946-08-02,1946-08-02,Found
-,-,-,-,NotFound
Nacional Atlético Clube,Naça,1961-12-23,1961-12-23,Found
-,-,-,-,NotFound
Democrata Futebol Clube,Jacaré,-,14,Found
-,-,-,-,NotFound
Estudantes Sport Club,Carneirão,1958-05-01,1958-05-01,Found
Grêmio Esportivo Glória,Leão da Serra,1956-11-15,1956-11-15,Found
Princesa do Solimões Esporte Clube,Tubarão do Solimões,1971-08-18,1971-08-18,Found
Serrano Sport Club,Serra da Vitória,1979-12-22,1979-12-22,Found
Associação Esportiva Tiradentes,O Tigre da PM,1961-09-15,1961-09-15,Found
-,-,-,-,NotFound
Clube Atlético Taguatinga,Jaguar,1984-10-15,1984-10-15,Found
Botafogo Sport Club,O Mais Simpático,1914-11-01,1914-11-01,Found
Calouros do Ar Futebol Clube,Tricolor tricolaço,1952-01-01,1952-01-01,Found
Grêmio Esportivo Catanduvense,GEC,1970-02-05,1970-02-05,Found
-,-,-,-,NotFound
Guarapari Esporte Clube,Tricolaço,1936-06-12,1936-06-12,Found
-,-,-,-,NotFound
-,-,-,-,NotFound
-,-,-,-,NotFound
Associação Atlética Rodoviária,Time dos Rodoviários,1960-01-20,1960-01-20,Found
Associação Sportiva São Domingos,Tricolor da igreja,1964-09-01,1964-09-01,Found
Madureira Esporte Clube,Tricolor Suburbano,1914-08-08,1914-08-08,Found
-,-,-,-,SyxtaxError
Águia de Marabá Futebol Clube,Azulão do Sul do Pará,1982-01-22,1982-01-22,Found
Clube Atlético Sorocaba,Galo,1991-02-21,1991-02-21,Found
Clube Atlético do Porto,Tricolor do Agreste,1993-07-30,1993-07-30,Found
Ji-Paraná Futebol Clube,Galo Azul,1991-04-22,1991-04-22,Found
Esporte Clube São José,Zecavirus,1913-05-24,1913-05-24,Found
Tocantinópolis Esporte Clube,Verdão do Norte,1989-01-01,1989-01-01,Found
-,-,-,-,Found
Tombense Futebol Clube,Gavião-Carcará,1914-09-07,1914-09-07,Found
Clube Esportivo Nova Esperança,Furacão Amarelo,1999-12-13,1999-12-13,Found
Friburguense Atlético Clube,Frisão,1980-03-14,1980-03-14,Found
Juazeiro Social Clube,Tricolor do Norte,1995-08-16,1995-08-16,Found
Palmas Futebol e Regatas,Tricolor,1997-01-31,1997-01-31,Found
Ypiranga Clube,Negro Anil,1963-05-15,1963-05-15,Found
Atlético Roraima Clube,Tricolor da Mecejana,1944-10-01,1944-10-01,Found
Baré Esporte Clube,Índio da Consolata,1946-10-26,1946-10-26,Found
Iraty Sport Club,Azulão,1914-04-21,1914-04-21,Found
Rio Branco Sport Club,Leão da Estradinha,1913-10-13,1913-10-13,Found
Associação Desportiva Vitória,Tricolor das Tabocas,1990-08-03,1990-08-03,Found
Canoas Sport Club,Tricolor Canoense,1998-01-23,1998-01-23,Found
Sport Club Corinthians Alagoano,&#39;&#39;Tricolor da Via Expressa,1991-04-04,1991-04-04,Found
Sociedade Esportiva Matsubara,Japonesinho,1974-12-18,1974-12-18,Found
-,-,-,-,Found
Tubarão Futebol Clube,Peixe,1992-05-30,1992-05-30,Found
Atlético Acreano,Galo Carijó,1952-04-27,1952-04-27,Found
Associação Atlética Coruripe,Hulk,2003-03-01,2003-03-01,Found
Clube Recreativo e Atlético Catalano,Leão do Sul,1931-07-13,1931-07-13,Found
-,-,-,-,NotFound
Mirassol Futebol Clube,Leão da Alta Araraquense,1925-11-09,1925-11-09,Found
Sousa Esporte Clube,Dinossauro Verde do Sertão,1991-07-10,1991-07-10,Found
