Clube,Nome Completo,Apelido,Cidade,UF,Formacao,Fundacao,Série A,R_a,Série B,P_b,R_b,Série C,P_c,R_c,Série D,P_d
São Gabriel FC †,São Gabriel Futebol Clube,-,São Gabriel,RS,-,2000,0,–,0,–,–,1,–,–,0,–
São José-AP †,Sociedade Esportiva e Recreativa São José,O mais querido,Macapá,AP,1946-08-26,1946-08-26,0,–,0,–,–,1,–,–,0,–
Serrano-PE,-,-,Serra Talhada,PE,-,-,0,–,0,–,–,1,–,–,0,–
Sete de Setembro-AL,-,-,Maceió,AL,-,-,0,–,0,–,–,1,–,–,0,–
Social,Social Futebol Clube,Saci de Aço,Coronel Fabriciano,MG,1944-10-01,1944-10-01,0,–,0,–,–,1,–,–,0,–
Tiradentes-PA,-,-,Belém,PA,-,-,0,–,0,–,–,1,–,–,0,–
Tocantins-MA †,-,-,Imperatriz,MA,-,-,0,–,0,–,–,1,–,–,0,–
Ulbra-RO †,Sport Club Ulbra Ji-Paraná,Coruja,Ji-Paraná,RO,2005-04-01,2005-04-01,0,–,0,–,–,1,–,–,0,–
Unibol †,Unibol Pernambuco Futebol Clube,-,Paulista,PE,1996-09-16,1996-09-16,0,–,0,–,–,1,–,–,0,–
Vênus,-,-,Abaetetuba,PA,-,-,0,–,0,–,–,1,–,–,0,–
Vera Cruz,-,-,Vitória de Santo Antão,PE,-,-,0,–,0,–,–,1,–,–,0,–
Aparecidense,Associação Atlética Aparecidense,Camaleão,Aparecida de Goiânia,GO,1985-10-22,1985-10-22,0,–,0,–,–,0,–,–,9,–
Guarani de Juazeiro,-,-,Juazeiro do Norte,CE,-,-,0,–,0,–,–,0,–,–,5,–
Goianésia,Goianésia Esporte Clube,Azulão do Vale,Goianésia,GO,1955-03-28,1955-03-28,0,–,0,–,–,0,–,–,6,–
Sinop,Sinop Futebol Clube,Galo do Norte,Sinop,MT,1977-01-16,1977-01-16,0,–,0,–,–,0,–,–,5,–
Bahia de Feira,Associação Desportiva Bahia de Feira,Tremendão,Feira de Santana,BA,1937-07-02,1937-07-02,0,–,0,–,–,0,–,–,4,–
Maringá,Maringá Futebol Clube,Zebra and Tricolor,Maringá,PR,-,2010,0,–,0,–,–,0,–,–,4,–
Murici,Murici Futebol Clube,Verdão,Murici,AL,1974-09-07,1974-09-07,0,–,0,–,–,0,–,–,4,–
Náutico-RR,Náutico Futebol Clube,Clube Simpatia de Roraima,Caracaraí,RR,1962-12-22,1962-12-22,0,–,0,–,–,0,–,–,4,–
Real Ariquemes,-,-,Ariquemes,RO,-,-,0,–,0,–,–,0,–,–,4,–
Espírito Santo,Espírito Santo Futebol Clube,Santão,Vitória,ES,2006-08-06,2006-08-06,0,–,0,–,–,0,–,–,3,–
Foz do Iguaçu,Auritânia Foz do Iguaçu Futebol Clube,O Azulão da Fronteira,Foz do Iguaçu,PR,1996-02-09,1996-02-09,0,–,0,–,–,0,–,–,3,–
Independente-PA,-,-,Tucuruí,PA,-,-,0,–,0,–,–,0,–,–,3,–
Interporto,Interporto Futebol Clube,-,Porto Nacional,TO,1990-07-13,1990-07-13,0,–,0,–,–,0,–,–,3,–
Plácido de Castro,Plácido de Castro Futebol Club,Tigre do Abunã,Plácido de Castro,AC,1979-11-03,1979-11-03,0,–,0,–,–,0,–,–,3,–
Atlético Cearense,-,-,Fortaleza,CE,-,-,0,–,0,–,–,0,–,–,3,–
Tubarão,Clube Atlético Tubarão,Furacão do Sul,Tubarão,SC,2005-04-14,2005-04-14,0,–,0,–,–,0,–,–,3,–
Galvez,Galvez Esporte Clube,Time Militar,Rio Branco,AC,2011-07-03,2011-07-03,0,–,0,–,–,0,–,–,3,–
Penarol,Penarol Atlético Clube,Leão Azul,Itacoatiara,AM,1947-08-08,1947-08-08,0,–,0,–,–,0,–,–,3,–
Vilhena,Vilhena Esporte Clube,Lobo do Cerrado,Vilhena,RO,1991-06-03,1991-06-03,0,–,0,–,–,0,–,–,3,–
Aquidauanense,Aquidauanense Futebol Clube,Azulão da Princesa,Aquidauana,MS,2001-12-10,2001-12-10,0,–,0,–,–,0,–,–,2,–
Aracruz †,Esporte Clube Aracruz,Dragão Vermelho,Aracruz,ES,-,-,0,–,0,–,–,0,–,–,2,–
Audax,-,-,Osasco,SP,-,-,0,–,0,–,–,0,–,–,2,–
Barcelona-RO,-,-,Vilhena,RO,-,-,0,–,0,–,–,0,–,–,2,–
Bragantino-PA,Bragantino Clube do Pará,Tubarão do Caeté,Bragança,PA,1975-03-06,1975-03-06,0,–,0,–,–,0,–,–,2,–
Cerâmica †,Cerâmica Atlético Clube,CAC,Gravataí,RS,1950-04-19,1950-04-19,0,–,0,–,–,0,–,–,2,–
Comercial-PI,Comercial Atlético Clube,O Bode da Terra dos Carnaubais,Campo Maior,PI,1945-04-21,1945-04-21,0,–,0,–,–,0,–,–,2,–
Cordino,Cordino Esporte Clube,Heróis de Barra do Corda,Barra do Corda,MA,2010-03-08,2010-03-08,0,–,0,–,–,0,–,–,2,–
FC Cascavel,-,-,Cascavel,PR,-,-,0,–,0,–,–,0,–,–,2,–
Iporá,Iporá Esporte Clube,IPEC,Iporá,GO,2000-01-01,2000-01-01,0,–,0,–,–,0,–,–,2,–
Juventude-MA,Sociedade Esportiva Juventude,Poraquê &#39;&#39;,São Mateus do Maranhão,MA,1979-06-14,1979-06-14,0,–,0,–,–,0,–,–,2,–
Lajeadense,Clube Esportivo Lajeadense,Alviazul,Lajeado,RS,1911-04-23,1911-04-23,0,–,0,–,–,0,–,–,2,–
Nova Iguaçu,-,-,Nova Iguaçu,RJ,-,-,0,–,0,–,–,0,–,–,2,–
Paragominas,Paragominas Futebol Clube,Jacaré,Paragominas,PA,2012-03-06,2012-03-06,0,–,0,–,–,0,–,–,2,–
Patrocinense,Clube Atlético Patrocinense,Águia,Patrocínio,MG,1954-03-19,1954-03-19,0,–,0,–,–,0,–,–,2,–
Penapolense,Clube Atlético Penapolense,Pantera da Noroeste,Penápolis,SP,1944-11-16,1944-11-16,0,–,0,–,–,0,–,–,2,–
PSTC,Paraná Soccer Technical Center,-,Cornélio Procópio,PR,1994-08-15,1994-08-15,0,–,0,–,–,0,–,–,2,–
Red Bull Brasil,Red Bull Brasil,RBB,Campinas,SP,2007-11-19,2007-11-19,0,–,0,–,–,0,–,–,2,–
Resende,-,-,Resende,RJ,-,-,0,–,0,–,–,0,–,–,2,–
River Plate-SE,Sociedade Esportiva River Plate,River do Carmo,Carmópolis,SE,1967-08-18,1967-08-18,0,–,0,–,–,0,–,–,2,–
Serra Talhada,Serra Talhada Futebol Clube,-,Serra Talhada,PE,2011-02-25,2011-02-25,0,–,0,–,–,0,–,–,2,–
Sete de Dourados,Clube Desportivo Sete de Setembro,Tricolor,Dourados,MS,1994-09-07,1994-09-07,0,–,0,–,–,0,–,–,2,–
Afogados,Afogados da Ingazeira Futebol Clube,Coruja do Sertão,Afogados da Ingazeira,PE,2013-12-18,2013-12-18,0,–,0,–,–,0,–,–,1,–
Aimoré,Clube Esportivo Aimoré,Índio Capilé,São Leopoldo,RS,1936-03-26,1936-03-26,0,–,0,–,–,0,–,–,1,–
AA Araguaia,-,-,Barra do Garças,MT,-,-,0,–,0,–,–,0,–,–,1,–
Araguaia AC †,Araguaia Atlético Clube,Pantera do Vale,Alto Araguaia,MT,1978-12-01,1978-12-01,0,–,0,–,–,0,–,–,1,–
Arapongas,Arapongas Esporte Clube,Arapongão,Arapongas,PR,1974-06-06,1974-06-06,0,–,0,–,–,0,–,–,1,–
Araxá,Araxá Esporte Clube,Ganso,Araxá,MG,1958-11-16,1958-11-16,0,–,0,–,–,0,–,–,1,–
ASSU,Associação Sportiva Sociedade Unida,Camaleão do Vale,Assu,RN,2002-01-10,2002-01-10,0,–,0,–,–,0,–,–,1,–
Avenida,Esporte Clube Avenida,Nida,Santa Cruz do Sul,RS,1944-01-06,1944-01-06,0,–,0,–,–,0,–,–,1,–
Atlético Itapemirim,Clube Atlético Itapemirim,Galo da Vila,Itapemirim,ES,1965-12-05,1965-12-05,0,–,0,–,–,0,–,–,1,–
Atlético Pernambucano,-,-,Carpina,PE,-,-,0,–,0,–,–,0,–,–,1,–
Audax Rio,Audax Rio de Janeiro Esporte Clube,Laranja Meritiense,São João de Meriti,RJ,2005-05-08,2005-05-08,0,–,0,–,–,0,–,–,1,–
Belo Jardim,Belo Jardim Futebol Clube,Calango do Agreste,Belo Jardim,PE,2005-01-18,2005-01-18,0,–,0,–,–,0,–,–,1,–
Cametá,Cametá Sport Club,Mapará Elétrico,Cametá,PA,2007-07-22,2007-07-22,0,–,0,–,–,0,–,–,1,–
Caucaia,Caucaia Esporte Clube,Tricolor Metropolitano,Caucaia,CE,2004-04-16,2004-04-16,0,–,0,–,–,0,–,–,1,–
Concórdia,Concórdia Atlético Clube,Galo do Oeste,Concórdia,SC,2005-03-02,2005-03-02,0,–,0,–,–,0,–,–,1,–
Cruzeiro-RS,-,-,Cachoeirinha,RS,-,-,0,–,0,–,–,0,–,–,1,–
Estanciano,Estanciano Esporte Clube,Canarinho do Piauitinga,Estância,SE,1956-06-14,1956-06-14,0,–,0,–,–,0,–,–,1,–
Feirense †,Feirense Futebol Clube,-,Feira de Santana,BA,1997-01-12,1997-01-12,0,–,0,–,–,0,–,–,1,–
Formosa,Bosque Formosa Esporte Clube,Forasteiro Atrevido,Formosa,DF,1978-09-21,1978-09-21,0,–,0,–,–,0,–,–,1,–
Freipaulistano,Associação Desportiva Freipaulistano,Galácticos do Sertão,Frei Paulo,SE,2016-08-29,2016-08-29,0,–,0,–,–,0,–,–,1,–
Guarani de Palhoça,-,-,Palhoça,SC,-,-,0,–,0,–,–,0,–,–,1,–
Itaboraí,Associação Desportiva Itaboraí,Águia do Leste Fluminense,Itaboraí,RJ,1976-07-30,1976-07-30,0,–,0,–,–,0,–,–,1,–
Itaporã †,Itaporã Futebol Clube,-,Itaporã,MS,2008-03-05,2008-03-05,0,–,0,–,–,0,–,–,1,–
Jaraguá,-,-,Jaraguá,GO,-,-,0,–,0,–,–,0,–,–,1,–
Jacyobá,-,-,Pão de Açúcar,AL,-,-,0,–,0,–,–,0,–,–,1,–
Jacobina,-,-,Jacobina,BA,-,-,0,–,0,–,–,0,–,–,1,–
JV Lideral †,JV Lideral Futebol Clube,Trator do Camaçari,Imperatriz,MA,1994-04-30,1994-04-30,0,–,0,–,–,0,–,–,1,–
Nacional-MG [NAC] †,-,-,Esmeraldas,MG,-,-,0,–,0,–,–,0,–,–,1,–
Náuas,Náuas Esporte Clube,Cacique do Juruá,Cruzeiro do Sul,AC,1923-10-19,1923-10-19,0,–,0,–,–,0,–,–,1,–
CE Naviraiense,Clube Esportivo Naviraiense,Jacaré do Cone Sul,Naviraí,MS,2005-11-25,2005-11-25,0,–,0,–,–,0,–,–,1,–
Nova Mutum,Nova Mutum Esporte Clube,Azulão da Massa,Nova Mutum,MT,-,1988,0,–,0,–,–,0,–,–,1,–
Novo,Novo Futebol Clube,-,Campo Grande,MS,2010-10-11,2010-10-11,0,–,0,–,–,0,–,–,1,–
Porto Velho,Porto Velho Esporte Clube,Locomotiva,Porto Velho,RO,2018-04-23,2018-04-23,0,–,0,–,–,0,–,–,1,–
Prudentópolis,Prudentópolis Futebol Clube,Tigrão,Prudentópolis,PR,2007-09-01,2007-09-01,0,–,0,–,–,0,–,–,1,–
Real Noroeste,Real Noroeste Capixaba Futebol Clube,Merengue Capixaba,Águia Branca,ES,2008-04-09,2008-04-09,0,–,0,–,–,0,–,–,1,–
Retrô,Retrô Futebol Clube Brasil,Soberano Recifense,Camaragibe,PE,2016-02-15,2016-02-15,0,–,0,–,–,0,–,–,1,–
Rio Branco VN,Rio Branco Futebol Clube,Tricolor Serrano,Venda Nova do Imigrante,ES,1945-06-29,1945-06-29,0,–,0,–,–,0,–,–,1,–
Rondoniense,Rondoniense Social Clube,Periquito da Zona Leste,Porto Velho,RO,-,2007,0,–,0,–,–,0,–,–,1,–
Santa Cruz de Natal,-,-,Natal,RN,-,-,0,–,0,–,–,0,–,–,1,–
Santa Rita,-,-,Boca da Mata,AL,-,-,0,–,0,–,–,0,–,–,1,–
Santana,Santana Esporte Clube,Canário Milionário,Santana,AP,1955-09-25,1955-09-25,0,–,0,–,–,0,–,–,1,–
São Bernardo,São Bernardo Futebol Clube Ltda.,Bernô,São Bernardo do Campo,SP,2004-12-20,,0,–,0,–,–,0,–,–,1,–
Serrano-PB,Grêmio Recreativo Serrano,Lobo da Serra,Campina Grande,PB,1989-09-20,1989-09-20,0,–,0,–,–,0,–,–,1,–
Sparta,Sociedade Desportiva Sparta,Tricolor do Norte,Araguaína,TO,2006-02-25,2006-02-25,0,–,0,–,–,0,–,–,1,–
Tocantins de Miracema,Tocantins Esporte Clube,Tecão Maravilha,Miracema do Tocantins,TO,1975-12-02,1975-12-02,0,–,0,–,–,0,–,–,1,–
Tocantins de Palmas †,Tocantins Futebol Clube,Tigrão da Serra,Palmas,TO,1999-10-10,1999-10-10,0,–,0,–,–,0,–,–,1,–
Tupynambás,Tupynambás Futebol Clube,Baeta,Juiz de Fora,MG,1911-08-15,1911-08-15,0,–,0,–,–,0,–,–,1,–
Vilhenense,Vilhenense Esportivo Clube,Leão de Vilhena,Vilhena,RO,2017-10-10,2017-10-10,0,–,0,–,–,0,–,–,1,–
