Clube,Nome Completo,Apelido,Cidade,UF,Formacao,Fundacao,Série A,R_a,Série B,P_b,R_b,Série C,P_c,R_c,Série D,P_d
Rio Branco-MG †,Rio Branco de Andradas Futebol Clube,O Mais Querido,Andradas,MG,1948-06-13,1948-06-13,0,–,2,–,–,3,–,–,0,–
Tiradentes-DF †,Grêmio Esportivo Tiradentes,-,Ceilândia,DF,1967-02-03,1967-02-03,0,–,2,–,1,3,–,–,0,–
Brusque,Brusque Futebol Clube,Quadricolor,Brusque,SC,1987-10-12,1987-10-12,0,–,2,–,–,2,1,–,6,1
Valeriodoce †,Valeriodoce Esporte Clube,Valério,Itabira,MG,1942-11-22,1942-11-22,0,–,2,–,–,2,–,–,0,–
Democrata-GV,Esporte Clube Democrata,Pantera,Governador Valadares,MG,1932-02-13,1932-02-13,0,–,2,–,1,1,–,–,0,–
Barra do Garças †,Barra do Garças Futebol Clube,Galo da Serra,Barra do Garças,MT,1978-01-09,1978-01-09,0,–,2,–,1,0,–,–,0,–
Bonsucesso,Bonsucesso Futebol Clube,Leão da Leopoldina,Rio de Janeiro,RJ,1913-09-12,1913-09-12,0,–,2,–,–,0,–,–,0,–
Ferroviário do Recife †,Clube Ferroviário do Recife,Ferrim,Recife,PE,1928-03-17,1928-03-17,0,–,2,–,–,0,–,–,0,–
Santa Cruz-RS,Futebol Clube Santa Cruz,Galo,Santa Cruz do Sul,RS,1913-03-26,1913-03-26,0,–,2,–,–,0,–,–,0,–
Serrano-RJ,-,-,Petrópolis,RJ,-,-,0,–,2,–,–,0,–,–,0,–
Sport Belém,Sport Club Belém,Dragão da Maracangalha,Belém,PA,1965-12-02,1965-12-02,0,–,2,–,–,0,–,–,0,–
União Bandeirante †,União Bandeirante Futebol Clube,-,Bandeirantes,PR,1964-11-15,1964-11-15,0,–,1,–,–,10,–,–,0,–
Salgueiro,Salgueiro Atlético Clube,SAC,Salgueiro,PE,1972-03-22,1972-03-22,0,–,1,–,1,9,1,2,3,1
Macaé,Macaé Esporte Futebol Clube,Alvi-Anil,Macaé,RJ,1990-07-17,,0,–,1,–,1,9,1,1,2,1
Imperatriz [IMP],Sociedade Imperatriz de Desportos,Cavalo de Aço,Imperatriz,MA,1962-01-04,1962-01-04,0,–,1,–,–,8,–,1,3,1
Estrela do Norte,Estrela do Norte Futebol Clube,Estrelense,Cachoeiro de Itapemirim,ES,1916-01-16,1916-01-16,0,–,1,–,–,7,–,–,1,–
Picos,Sociedade Esportiva Picos,O Zangão do Piauí,Picos,PI,1976-02-08,1976-02-08,0,–,1,–,–,5,–,–,1,–
Ceilândia,Ceilândia Esporte Clube,Gato Preto,Ceilândia,DF,1979-08-23,1979-08-23,0,–,1,–,–,4,–,–,5,–
União Barbarense,União Agrícola Barbarense Futebol Clube,Leão da 13,Santa Bárbara d'Oeste,SP,1914-11-22,1914-11-22,0,–,1,–,1,4,1,–,0,–
Icasa EC †,-,-,Juazeiro do Norte,CE,-,-,0,–,1,–,–,3,–,–,0,–
Parnahyba,Parnahyba Sport Club,Tubarão do Litoral,Parnaíba,PI,1913-05-01,1913-05-01,0,–,1,–,–,2,–,–,3,–
