Nome,Nome Popular,Cidade,Estado (UF),Fundação,Série A,Série B,Série C,Série D
Hercílio Luz Futebol Clube,Hercílio Luz,Tubarão,SC,22/12/1918,1,0,0,1
Esporte Clube Água Verde ,Água Verde-PR,Curitiba,PR,,1,0,0,0
América Football Club,América-CE,Fortaleza,CE,11/11/1920,1,0,0,0
Esporte Clube Comercial,Comercial-PR,Cornélio Procópio,PR,,1,0,0,0
Associação Esportiva Cruzeiro do Sul,Cruzeiro do Sul,Cruzeiro,DF,,1,0,0,0
Departamento de Força e Luz Futebol Clube,Defelê-DF,Brasília,DF,,1,0,0,0
Associação Esportiva Eletrovapo,Eletrovapo,Niterói,RJ,,1,0,0,0
Estrela do Mar Esporte Clube,Estrela do Mar-PB,João Pessoa,PB,06/05/1953,1,0,0,0
Associação Atlética Guanabara,Guanabara-DF,Brasília,DF,,1,0,0,0
Associação Desportiva Niterói,Manufatora-RJ,Niterói,RJ,11/04/1944,1,0,0,0
Olímpico Clube,Olímpico Clube,Manaus,AM,,1,0,0,0
Grêmio Esportivo Olímpico,Olímpico-SC,Blumenau,SC,,1,0,0,0
Paula Ramos Esporte Clube,Paula Ramos,Florianópolis,SC,,1,0,0,0
Sociedade Esportiva e Recreativa Perdigão,Perdigão-SC,Videira,SC,,1,0,0,0
Esporte CLube Siderúrgica,Siderúrgica,Sabará,MG,,1,0,0,0
