Fase,Data,Horário,Mandante,Visitante,Mandante Placar,Visitante Placar
QF,1964-10-18,,Ceará,Fluminense de Feira,2,0
QF,1964-10-25,,Fluminense de Feira,Ceará,2,1
QF,1964-10-25,,Santos,Atlético Mineiro,5,1
QF,1964-10-27,,Ceará,Fluminense de Feira,2,0
SF,1964-11-04,,Santos,Palmeiras,3,2
SF,1964-11-08,,Ceará,Flamengo,1,2
SF,1964-11-10,,Santos,Palmeiras,4,0
SF,1964-11-18,,Flamengo,Ceará,3,1
F,1964-12-16,,Santos,Flamengo,4,1
F,1964-12-19,,Flamengo,Santos,0,0
1F,1965-07-18,,Eletrovapo,Desportiva Ferroviária,1,1
1F,1965-07-18,,Nacional-AM,Remo,0,1
1F,1965-07-18,,Atlético Goianiense,Guanabara-DF,2,0
1F,1965-07-18,,Campinense,Alecrim,4,1
1F,1965-07-18,,Sampaio Corrêa,Flamengo-PI,1,0
1F,1965-07-18,,Sergipe,CRB,1,4
1F,1965-07-25,,Alecrim,Campinense,1,1
1F,1965-07-25,,Desportiva Ferroviária,Eletrovapo,2,2
1F,1965-07-25,,Guanabara-DF,Atlético Goianiense,2,4
1F,1965-07-25,,Remo,Nacional-AM,3,1
1F,1965-07-25,,Flamengo-PI,Sampaio Corrêa,0,1
1F,1965-07-27,,Desportiva Ferroviária,Eletrovapo,1,1
1F,1965-08-01,,CRB,Sergipe,0,2
1F,1965-08-03,,CRB,Sergipe,2,2
2F,1965-08-08,,Grêmio Maringá,Grêmio,0,4
2F,1965-08-08,,Desportiva Ferroviária,Atlético Goianiense,2,0
2F,1965-08-08,,Campinense,CRB,0,0
2F,1965-08-08,,Remo,Sampaio Corrêa,5,1
2F,1965-08-15,,Atlético Goianiense,Desportiva Ferroviária,4,0
2F,1965-08-15,,Grêmio,Grêmio Maringá,2,0
2F,1965-08-15,,CRB,Campinense,0,1
2F,1965-08-15,,Sampaio Corrêa,Remo,1,0
2F,1965-08-17,,Atlético Goianiense,Desportiva Ferroviária,2,1
2F,1965-08-18,,Sampaio Corrêa,Remo,3,3
3F,1965-08-29,,Remo,Náutico,3,0
3F,1965-08-29,,Campinense,Vitória,1,2
3F,1965-09-05,,Náutico,Remo,3,1
3F,1965-09-05,,Olímpico-SC,Grêmio,0,1
3F,1965-09-05,,Vitória,Campinense,1,0
3F,1965-09-07,,Náutico,Remo,3,1
3F,1965-09-12,,Grêmio,Olímpico-SC,4,1
4F,1965-09-15,,Náutico,Vitória,2,0
4F,1965-09-22,,Vitória,Náutico,0,2
3F,1965-09-26,,Atlético Goianiense,Siderúrgica,0,3
3F,1965-09-29,15:00,Siderúrgica,Atlético Goianiense,3,1
4F,1965-10-07,,Grêmio,Siderúrgica,3,1
QF,1965-10-13,,Fortaleza,Náutico,2,3
4F,1965-10-13,15:00,Siderúrgica,Grêmio,2,2
QF,1965-10-20,,Náutico,Fortaleza,3,2
QF,1965-10-20,,Palmeiras,Grêmio,4,1
QF,1965-10-27,,Grêmio,Palmeiras,5,1
QF,1965-10-29,,Grêmio,Palmeiras,0,2
SF,1965-11-03,,Santos,Palmeiras,4,2
SF,1965-11-03,,Náutico,Vasco,2,2
SF,1965-11-10,,Palmeiras,Santos,1,1
SF,1965-11-10,,Vasco,Náutico,1,0
F,1965-12-01,,Santos,Vasco,5,1
F,1965-12-08,,Vasco,Santos,0,1
1F,1966-07-10,,CSA,Confiança,2,0
3F,1966-07-10,,Desportiva Ferroviária,Americano,2,2
4F,1966-07-10,,Inter de Lages,Ferroviário-PR,3,3
1F,1966-07-13,,Paysandu,Rio Negro-AM,6,0
3F,1966-07-13,,Rabello-DF,Anápolis,2,0
1F,1966-07-14,,Campinense,ABC,2,0
1F,1966-07-17,,Rio Negro-AM,Paysandu,0,3
3F,1966-07-17,,Americano,Desportiva Ferroviária,3,0
4F,1966-07-17,,Ferroviário-PR,Inter de Lages,2,0
1F,1966-07-17,,Confiança,CSA,0,1
1F,1966-07-17,,Flamengo-PI,Sampaio Corrêa,2,0
3F,1966-07-20,,Anápolis,Rabello-DF,1,0
1F,1966-07-24,,Sampaio Corrêa,Flamengo-PI,1,1
1F,1966-07-24,,ABC,Campinense,1,2
