UF,Clube,Cidade,Série A,R,Série B,P,R,Série C,P,R,Série D,P
PB,Estrela do Mar †,João Pessoa,1,–,0,–,–,0,–,–,0,–
DF,Guanabara-DF †,Brasília,1,–,0,–,–,0,–,–,0,–
RJ,Manufatora †,Niterói,1,–,0,–,–,0,–,–,0,–
AM,Olímpico-AM †,Manaus,1,–,0,–,–,0,–,–,0,–
SC,Olímpico-SC †,Blumenau,1,–,0,–,–,0,–,–,0,–
SC,Paula Ramos †,Florianópolis,1,–,0,–,–,0,–,–,0,–
SC,Perdigão †,Videira,1,–,0,–,–,0,–,–,0,–
MG,Siderúrgica †,Sabará,1,–,0,–,–,0,–,–,0,–
SP,Mogi Mirim,Mogi Mirim,0,–,9,–,3,10,2,1,2,1
SP,Oeste [OES],Barueri,0,–,8,–,1,2,1,–,2,1
MG,Boa Esporte [BOA],Varginha,0,–,7,–,2,9,2,–,1,–
SP,Marília,Marília,0,–,7,–,1,6,1,1,1,–
AM,São Raimundo-AM,Manaus,0,–,7,–,1,5,1,–,0,–
SP,Paulista [PTA],Jundiaí,0,–,6,–,1,7,1,–,1,–
CE,Guarany de Sobral,Sobral,0,–,6,–,1,4,1,1,6,1
MT,União Rondonópolis,Rondonópolis,0,–,5,–,–,7,–,–,4,–
GO,Goiatuba,Goiatuba,0,–,5,–,1,1,–,–,0,–
SP,Ituano,Itu,0,–,4,–,1,9,1,–,5,1
MT,Luverdense,Lucas do Rio Verde,0,–,4,–,1,9,1,1,0,–
CE,Icasa,Juazeiro do Norte,0,–,4,–,2,7,2,1,1,–
SP,Guaratinguetá [GTA] †,Guaratinguetá,0,–,4,–,1,5,1,1,0,–
RJ,Itaperuna [ITA],Itaperuna,0,–,4,–,–,2,–,–,0,–
PE,América-PE,Recife,0,–,4,–,–,1,–,–,3,–
MG,Tupi,Juiz de Fora,0,–,3,–,1,16,1,2,5,2
AC,Rio Branco-AC,Rio Branco,0,–,3,–,–,11,–,1,7,–
SC,Marcílio Dias,Itajaí,0,–,3,–,–,8,–,1,4,–
RN,Baraúnas,Mossoró,0,–,3,–,–,6,–,1,2,1
SC,Blumenau,Blumenau,0,–,3,–,–,5,–,–,0,–
RJ,Duque de Caxias,Duque de Caxias,0,–,3,–,1,4,1,1,1,–
RS,Esportivo,Bento Gonçalves,0,–,3,–,–,3,–,–,1,–
MS,Ubiratan †,Dourados,0,–,3,–,–,3,–,–,0,–
PR,Cascavel EC †,Cascavel,0,–,3,–,–,2,–,–,0,–
SP,GE Novorizontino †,Novo Horizonte,0,–,3,–,1,2,1,–,0,–
RS,Pelotas,Pelotas,0,–,2,–,–,5,–,–,4,–
BA,Atlético de Alagoinhas,Alagoinhas,0,–,2,–,–,5,–,–,3,–
ES,Serra,Serra,0,–,2,–,1,5,1,–,1,–
MG,Esportivo de Passos †,Passos,0,–,2,–,–,3,–,–,0,–
MG,Rio Branco-MG †,Andradas,0,–,2,–,–,3,–,–,0,–
DF,Tiradentes-DF †,Ceilândia,0,–,2,–,1,3,–,–,0,–
SC,Brusque,Brusque,0,–,2,–,–,2,1,–,6,1
MG,Valeriodoce †,Itabira,0,–,2,–,–,2,–,–,0,–
MG,Democrata-GV,Governador Valadares,0,–,2,–,1,1,–,–,0,–
