Nome,Nome Popular,Cidade,Estado (UF),Fundação,Série A,Série B,Série C,Série D
Alecrim Futebol Clube,Alecrim,Natal,RN,1915-08-15,3,2,3,2
Sport Club São Paulo,São Paulo-RS,Rio Grande,RS,1908-10-04,3,2,0,2
Clube Esportivo Dom Bosco,Dom Bosco,Cuiabá,MT,1925-01-04,3,1,1,1
Centro Esportivo Universitário de Brasília,CEUB,Brasília,DF,1968-01-01,3,0,0,0
Clube Atlético Ferroviário,Ferroviário-PR,Curitiba,PR,1930-01-12,3,0,0,0
Fonseca Atlético Clube,Fonseca-RJ,Niterói,RJ,1917-10-12,3,0,0,0
Rabello Futebol Clube,Rabello-DF,Brasília,DF,1957-08-17,3,0,0,0
Central Sport Club,Central,Caruaru,PE,1919-06-15,2,18,5,11
Esporte Clube Santo André,Santo André,Santo André,SP,1967-09-18,2,9,10,2
América Futebol Clube,América de Rio Preto,São José do Rio Preto,SP,1946-01-28,2,6,7,0
Campo Grande Atlético Clube,Campo Grande,Rio de Janeiro,RJ,1940-06-13,2,5,5,0
Grêmio Barueri Futebol Ltda.,Grêmio Barueri,Barueri,SP,1989-06-26,2,4,0,1
Esporte Clube Pinheiros,Pinheiros,Curitiba,PR,1899-09-07,2,4,0,0
São José Esporte Clube,São José,São José dos Campos,SP,1933-08-13,2,3,2,0
Itabuna Esporte Clube,Itabuna,Itabuna,BA,1967-05-23,2,3,1,0
Comercial Futebol Clube,Comercial,Ribeirão Preto,SP,1911-10-10,2,2,4,0
Galícia Esporte Clube,Galícia,Salvador,BA,1933-01-01,2,1,3,1
Clube Esportivo Capelense,Capelense,Capela,AL,1946-04-04,2,1,2,0
Olaria Atlético Clube,Olaria,Rio de Janeiro,RJ,1915-07-01,2,0,5,0
Esporte Clube XV de Novembro,XV de Jaú,Jaú,SP,1924-11-15,2,0,1,0
Sport Clube Santa Cruz,Santa Cruz-SE,Estância,SE,1930-05-03,2,0,0,0
Santo Antônio Futebol Clube,Santo Antônio-ES,Vitória,ES,1919-11-19,2,0,0,0
Clube Atlético Juventus,Juventus,São Paulo ,SP,1924-04-20,1,12,7,0
Catuense Futebol S/A,Catuense,Catu,BA,1974-01-01,1,8,9,0
Esporte Clube Novo Hamburgo,Novo Hamburgo,Novo Hamburgo,RS,1911-05-01,1,8,3,3
Agremiação Sportiva Arapiraquense,ASA,Arapiraca,AL,1952-09-25,1,7,13,3
Brasiliense Futebol Clube,Brasiliense,Taguatinga,DF,2000-08-01,1,7,5,5
Operário Ferroviário Esporte Clube,Operário-PR,Ponta Grossa ,PR,1912-05-01,1,7,2,4
Itumbiara Esporte Clube,Itumbiara,Itumbiara,GO,1970-03-09,1,5,7,3
Taguatinga Esporte Clube,Taguatinga,Taguatinga,DF,1974-02-18,1,5,3,0
Ipatinga Futebol Clube,Ipatinga,Ipatinga,MG,1998-05-21,1,4,9,1
Esporte Clube Noroeste,Noroeste,Bauru,SP,1910-09-01,1,4,5,0
Esporte Clube São Berto,São Bento,Sorocaba,SP,1913-09-14,1,4,3,2
Anápolis Futebol Clube,Anápolis,Anápolis,GO,1946-05-01,1,3,8,2
Vitória Futebol Clube,Vitória-ES,Vitória,ES,1912-10-01,1,3,4,2
Associação Ferroviária de Esportes,Ferroviária,Araraquara,SP,1950-04-12,1,3,3,4
Associação Atlética Colatina,AA Colatina,Colatina,ES,1978-05-13,1,3,3,0
Clube de Regatas Guará,Guará,Guará,DF,1957-01-09,1,3,2,0
Sobradinho Esporte Clube,Sobradinho,Sobradinho,DF,1975-01-01,1,3,1,2
Cuiabá Esporte Clube,Cuiabá,Cuiabá,MT,2001-12-12,1,2,9,1
Esporte Clube Internacional,Inter de Santa Maria,Santa Maria,RS,1928-05-16,1,2,4,0
Auto Esporte Clube,Auto Esporte-PB,João Pessoa,PB,1936-09-07,1,2,3,0
J.Malucelli Futebol S/A,J.Malucelli,Curitiba,PR,1994-12-27,1,1,3,3
Associação Atlética Caldense,Caldense,Poços de Caldas,MG,1925-09-07,1,1,1,7
Corumbaense Futebol Clube,Corumbaense,Corumbá,MS,1914-01-01,1,1,1,2
Auto Esporte Clube,Auto Esporte-PI,Teresina,PI,1951-05-01,1,1,0,0
Ferroviário Esporte Clube,Ferroviário-MA,São Luís,MA,1941-09-10,1,1,0,0
Associação Cultural e Desportiva Potiguar,Potiguar de Mossoró,Mossoró,RN,1945-02-11,1,0,10,5
Associação Atlética Francana,Francana,Franca,SP,1912-10-12,1,0,5,0
América Futebol Clube,América-SE,Propriá,SE,1942-08-08,1,0,1,0
Clube Esportivo Rio Branco,Rio Branco-RJ,Campos dos Goytacazes,RJ,1912-11-05,1,0,1,0
Esporte Clube Internacional,Inter de Lages,Lages,SC,1949-06-13,1,0,0,4
Hercílio Luz Futebol Clube,Hercílio Luz,Tubarão,SC,1918-12-22,1,0,0,1
Esporte Clube Água Verde ,Água Verde-PR,Curitiba,PR,1914-12-17,1,0,0,0
América Football Club,América-CE,Fortaleza,CE,1920-11-11,1,0,0,0
Esporte Clube Comercial,Comercial-PR,Cornélio Procópio,PR,1943-03-14,1,0,0,0
Associação Esportiva Cruzeiro do Sul,Cruzeiro do Sul,Cruzeiro,DF,1961-04-21,1,0,0,0
Departamento de Força e Luz Futebol Clube,Defelê-DF,Brasília,DF,1959-12-25,1,0,0,0
Associação Esportiva Eletrovapo,Eletrovapo,Niterói,RJ,1957-12-08,1,0,0,0
Estrela do Mar Esporte Clube,Estrela do Mar-PB,João Pessoa,PB,1953-05-06,1,0,0,0
Associação Atlética Guanabara,Guanabara-DF,Brasília,DF,1959-08-15,1,0,0,0
Associação Desportiva Niterói,Manufatora-RJ,Niterói,RJ,1944-04-11,1,0,0,0
Olímpico Clube,Olímpico Clube,Manaus,AM,1938-10-17,1,0,0,0
Grêmio Esportivo Olímpico,Olímpico-SC,Blumenau,SC,1919-08-14,1,0,0,0
Paula Ramos Esporte Clube,Paula Ramos,Florianópolis,SC,1937-12-15,1,0,0,0
Sociedade Esportiva e Recreativa Perdigão,Perdigão-SC,Videira,SC,1964-01-01,1,0,0,0
Esporte Clube Siderúrgica,Siderúrgica,Sabará,MG,1930-05-31,1,0,0,0
